company_raw,company_normalized,official_name,factset_entity_id
Adobe Systems Incorporated,adobe systems,Adobe Inc.,000BJT-E
AMD,amd,"Advanced Micro Devices, Inc.",000BK7-E
Aflac,aflac,Aflac Incorporated,000BMH-E
Alaska Airlines,alaska airlines,"Alaska Air Group, Inc.",000BNX-E
Alaska Airline,alaska airline,"Alaska Air Group, Inc.",000BNX-E
Hess Corporation,hess,Hess Corporation,000BVL-E
UHaul,uhaul,AMERCO,000BVM-E
U-Haul,u haul,AMERCO,000BVM-E
American Express,american express,American Express Company,000BY7-E
American Express Global Business Travel,american express global business travel,American Express Company,000BY7-E
AIG,aig,"American International Group, Inc. (AIG)",000BZV-E
Amgen Inc.,amgen,Amgen Inc.,000C35-E
Analog Devices Inc.,analog devices,"Analog Devices, Inc.",000C4B-E
"Apple, Inc.",apple,Apple Inc.,000C7F-E
ADM DO BRASIL LTDA,adm do brasil ltda,Archer-Daniels-Midland Company,000C8L-E
Armstrong World Industries,armstrong world industries,"Armstrong World Industries, Inc.",000C9Q-E
Autodesk,autodesk,"Autodesk, Inc.",000CFP-E
ADP,adp,"Automatic Data Processing, Inc. (ADP)",000CFX-E
Adp Global Logistics Inc Usa,adp global logistics usa,"Automatic Data Processing, Inc. (ADP)",000CFX-E
AVERY DENNISON (INDIA) PVT LTD,avery dennison india pvt,Avery Dennison Corporation,000CGC-E
Ball,ball,Ball Corporation,000CJY-E
Bank of Montreal,bank of montreal,Bank of Montreal (BMO),000CKX-E
Nicoventures Trading Limited,nicoventures trading,British American Tobacco plc,000CN6-E
British American Tobacco,british american tobacco,British American Tobacco plc,000CN6-E
British American Tobacco Vranje a.d Vranje,british american tobacco vranje a d vranje,British American Tobacco plc,000CN6-E
British American Tobacco Colombia SAS,british american tobacco colombia sas,British American Tobacco plc,000CN6-E
"British American Tobacco Japan, LTD.",british american tobacco japan,British American Tobacco plc,000CN6-E
British American Tobacco-Vinataba,british american tobacco vinataba,British American Tobacco plc,000CN6-E
Tabacalera Hondureña,tabacalera hondurena,British American Tobacco plc,000CN6-E
BATCA Sucursal Honduras,batca sucursal honduras,British American Tobacco plc,000CN6-E
BATCA Sucursal El Salvador,batca sucursal el salvador,British American Tobacco plc,000CN6-E
British American Tobacco Jordan,british american tobacco jordan,British American Tobacco plc,000CN6-E
BRITISH AMERICAN TOBACCO CHILE OPERACIONES S.A.,british american tobacco chile operaciones s a,British American Tobacco plc,000CN6-E
BAT Pecsi Dohanygyar Kft,bat pecsi dohanygyar kft,British American Tobacco plc,000CN6-E
BAT,bat,British American Tobacco plc,000CN6-E
American Snuff Company Taylor Brothers,american snuff taylor brothers,British American Tobacco plc,000CN6-E
"American Snuff Company, LLC â Clarksville",american snuff a clarksville,British American Tobacco plc,000CN6-E
RJ REYNOLDS TOBACCO COMPANY,rj reynolds tobacco,British American Tobacco plc,000CN6-E
American Snuff Company LLC,american snuff,British American Tobacco plc,000CN6-E
BAT ISTANBUL OFFICE,bat istanbul office,British American Tobacco plc,000CN6-E
Corona,corona,"Constellation Brands, Inc.",000CN7-E
Constellation,constellation,"Constellation Brands, Inc.",000CN7-E
"Shaw Industries, Inc",shaw industries,Berkshire Hathaway Inc.,000CS1-E
Hetjets Aviation Limitada,hetjets aviation limitada,Berkshire Hathaway Inc.,000CS1-E
Netjets Aviation Limitada,netjets aviation limitada,Berkshire Hathaway Inc.,000CS1-E
"NetJets - Transportes Aéreos, S.A.",netjets transportes aereos s a,Berkshire Hathaway Inc.,000CS1-E
NetJets,netjets,Berkshire Hathaway Inc.,000CS1-E
Net Jets Aviation,net jets aviation,Berkshire Hathaway Inc.,000CS1-E
Executive Jet Management,executive jet management,Berkshire Hathaway Inc.,000CS1-E
"Brooks Sports, Inc.",brooks sports,Berkshire Hathaway Inc.,000CS1-E
Netjets Transportes Aeroes SA,netjets transportes aeroes,Berkshire Hathaway Inc.,000CS1-E
The Boeing Company,the boeing,The Boeing Company,000CYC-E
Boeing,boeing,The Boeing Company,000CYC-E
BorgWarner OroszlâˆšÂ°ny Kft.,borgwarner oroszlaˆsa ny kft,BorgWarner Inc.,000CZ5-E
BMS,bms,Bristol-Myers Squibb Company,000D1R-E
Bristol Myers Squibb,bristol myers squibb,Bristol-Myers Squibb Company,000D1R-E
Bristol Meyers Squibb,bristol meyers squibb,Bristol-Myers Squibb Company,000D1R-E
Brown-Forman,brown forman,Brown-Forman Corporation,000D2K-E
CABOT,cabot,Cabot Corporation,000D61-E
Cadence Design Systems Inc.,cadence design systems,"Cadence Design Systems, Inc.",000D69-E
Capital One,capital one,Capital One Financial Corporation,000DB4-E
"Capital One Services, LLC",capital one services,Capital One Financial Corporation,000DB4-E
Capital One Canada,capital one canada,Capital One Financial Corporation,000DB4-E
CATERPILLAR TIANJIN LIMITED,caterpillar tianjin,Caterpillar Inc.,000DFY-E
CHEVRON PETROLEUM COMPANY,chevron petroleum,Chevron Corporation,000DP6-E
Chevron Petroleum Company S.A,chevron petroleum s a,Chevron Corporation,000DP6-E
AeroRepública S.A. and Chevron Petroleum Company,aerorepublica s a and chevron petroleum,Chevron Corporation,000DP6-E
CHEVRON PRETROLEUM COMPANY,chevron pretroleum,Chevron Corporation,000DP6-E
Chevron,chevron,Chevron Corporation,000DP6-E
Chevron Australia Pty Ltd,chevron australia,Chevron Corporation,000DP6-E
Church & Dwight,church dwight,"Church & Dwight Co., Inc.",000DQG-E
Cisco,cisco,"Cisco Systems, Inc.",000DS6-E
CISCO SYSTEMS INC,cisco systems,"Cisco Systems, Inc.",000DS6-E
CISCO SYSTEMS FRANCE,cisco systems france,"Cisco Systems, Inc.",000DS6-E
Innocent Ltd,innocent,The Coca-Cola Company,000DWY-E
Solar BR Coca Cola,solar br coca cola,The Coca-Cola Company,000DWY-E
The Coca-Cola Company,the coca cola,The Coca-Cola Company,000DWY-E
CocaCola,cocacola,The Coca-Cola Company,000DWY-E
Coca-Cola Europacific Partners,coca cola europacific partners,The Coca-Cola Company,000DWY-E
Coca Cola,coca cola,The Coca-Cola Company,000DWY-E
Coca-Cola ASEAN and South Pacific,coca cola asean and south pacific,The Coca-Cola Company,000DWY-E
SPRITE / COCA COLA,sprite coca cola,The Coca-Cola Company,000DWY-E
SPRITE_NO_TE_CALIENTES_COCA COLA _MX_MAR_GREEN,sprite_no_te_calientes_coca cola _mx_mar_green,The Coca-Cola Company,000DWY-E
Coca-Cola Finland Oy,coca cola finland oy,The Coca-Cola Company,000DWY-E
Laura Moon Coca-Cola,laura moon coca cola,The Coca-Cola Company,000DWY-E
"Coeur Mining, Inc",coeur mining,"Coeur Mining, Inc.",000DX5-E
Colgate,colgate,Colgate-Palmolive Company,000DXS-E
COLGATE PALMOLIVE I LTD,colgate palmolive i,Colgate-Palmolive Company,000DXS-E
"Comerica, Inc.",comerica,Comerica Incorporated,000F01-E
Commercial Metals Company,commercial metals,Commercial Metals Company,000F0N-E
"Conagra Brands, Inc.",conagra brands,"Conagra Brands, Inc.",000F36-E
"ConAgra R&F (PF), LLC",conagra r f pf,"Conagra Brands, Inc.",000F36-E
Costco Wholesale Corporation,costco wholesale,Costco Wholesale Corporation,000F9X-E
Avis Rent a Car South Africa,avis rent a car south africa,"Avis Budget Group, Inc.",000FFL-E
"Avis Budget, South Africa",avis budget south africa,"Avis Budget Group, Inc.",000FFL-E
AVIS Budget Rent a Car South Africa,avis budget rent a car south africa,"Avis Budget Group, Inc.",000FFL-E
Budget Australia,budget australia,"Avis Budget Group, Inc.",000FFL-E
Budget Rent a Car Australia,budget rent a car australia,"Avis Budget Group, Inc.",000FFL-E
"Avis Budget Group, Inc.",avis budget,"Avis Budget Group, Inc.",000FFL-E
JOHN DEERE,john deere,Deere & Company,000FMM-E
"Delta Air Lines, Inc.",delta air lines,"Delta Air Lines, Inc.",000HH2-E
Delta Airlines,delta airlines,"Delta Air Lines, Inc.",000HH2-E
Delta,delta,"Delta Air Lines, Inc.",000HH2-E
Delta Air Line,delta air line,"Delta Air Lines, Inc.",000HH2-E
EURO DISNEY ASSOCIES SAS,euro disney associes sas,The Walt Disney Company,000HLG-E
The Walt Disney Company,the walt disney,The Walt Disney Company,000HLG-E
"National Geographic Partners, LLC.",national geographic partners,The Walt Disney Company,000HLG-E
Disney,disney,The Walt Disney Company,000HLG-E
Disney's Greenhouse Gas and Emissions,disney s greenhouse gas and emissions,The Walt Disney Company,000HLG-E
National Geographic Expeditions,national geographic expeditions,The Walt Disney Company,000HLG-E
Dominion Energy Utah,dominion energy utah,"Dominion Energy, Inc.",000HMG-E
Dominion Energy Retail Gas Program,dominion energy retail gas program,"Dominion Energy, Inc.",000HMG-E
Moody's,moody s,Moody's Corporation,000HSZ-E
Electronic Arts,electronic arts,Electronic Arts Inc.,000HZ5-E
"EMCOR Group, Inc.",emcor,"EMCOR Group, Inc.",000J03-E
EXPEDITORS INTERNATIONAL INDIA PL,expeditors international india pl,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS INTL OF WASH INC,expeditors intl of wash,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS INTL DO BRASIL LTDA,expeditors intl do brasil ltda,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS DE COLOMBIA LTDA,expeditors de colombia ltda,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS ARGENTINA SA,expeditors argentina,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS HONG KONG LTD,expeditors hong kong,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS DOSDQ,expeditors dosdq,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS PHILIPPINES INC,expeditors philippines,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS INTL FWDG & CLRG LLC,expeditors intl fwdg clrg,"Expeditors International of Washington, Inc.",000JF5-E
PT EXPEDITORS INDONESIA,pt expeditors indonesia,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS INTERNATIONAL CARGO,expeditors international cargo,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS INTL I PVT LTD,expeditors intl i pvt,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS INT'L OCEAN,expeditors int l ocean,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS CHINA GUANGZHOU BRANCH,expeditors china guangzhou branch,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS INTERNATIONAL INDIA P L,expeditors international india p l,"Expeditors International of Washington, Inc.",000JF5-E
EXPEDITORS INTERNATIONAL,expeditors international,"Expeditors International of Washington, Inc.",000JF5-E
Fifth Third,fifth third,Fifth Third Bancorp,000JND-E
Fifth Third Bank,fifth third bank,Fifth Third Bancorp,000JND-E
Leonardo Assicurazioni srl,leonardo assicurazioni,Leonardo S.p.A.,000JP9-E
Solairus on Behalf of FMC Corp,solairus on behalf of fmc,FMC Corporation,000KLW-E
Ford Werke GmbH,ford werke,Ford Motor Company,000KN2-E
FORD,ford,Ford Motor Company,000KN2-E
Gallagher Ltd,gallagher,Arthur J. Gallagher & Co.,000KW7-E
Solairus on Behalf of The Gap Inc,solairus on behalf of the gap,"The Gap, Inc.",000KWJ-E
Jet Aviation,jet aviation,General Dynamics Corporation,000KYC-E
Gulfstream Aerospace Corporations,gulfstream aerospace corporations,General Dynamics Corporation,000KYC-E
Gulfstream Aerospace Corp,gulfstream aerospace,General Dynamics Corporation,000KYC-E
LM Wind Power A/S,lm wind power a s,General Electric Company,000KYG-E
GE Australia Pty Ltd,ge australia,General Electric Company,000KYG-E
LM WIND POWER,lm wind power,General Electric Company,000KYG-E
GE Fleet,ge fleet,General Electric Company,000KYG-E
"GE Engine Services Distribution, LLC",ge engine services distribution,General Electric Company,000KYG-E
GE Digital Aviation Software,ge digital aviation software,General Electric Company,000KYG-E
"General Mills, Inc.",general mills,"General Mills, Inc.",000KYW-E
Dunkaroos/General Mills,dunkaroos general mills,"General Mills, Inc.",000KYW-E
Nature Valley,nature valley,"General Mills, Inc.",000KYW-E
Ally Financial,ally financial,Ally Financial Inc.,000KYY-E
Ally,ally,Ally Financial Inc.,000KYY-E
GILEAD SCIENCES HELLAS,gilead sciences hellas,"Gilead Sciences, Inc.",000L1R-E
GILEAD Company,gilead,"Gilead Sciences, Inc.",000L1R-E
GILEAD SCIENCES HELLAS M. Ltd Company,gilead sciences hellas m,"Gilead Sciences, Inc.",000L1R-E
GILEAD SCIENCE HELLAS,gilead science hellas,"Gilead Sciences, Inc.",000L1R-E
GILEAD SICENCE MPE,gilead sicence mpe,"Gilead Sciences, Inc.",000L1R-E
Greif Textile Mietsysteme,greif textile mietsysteme,"Greif, Inc.",000L92-E
Greif Mietwäsche,greif mietwasche,"Greif, Inc.",000L92-E
HP Indigo,hp indigo,HP Inc.,000LNN-E
HP Inc,hp,HP Inc.,000LNN-E
"Sullair, LLC",sullair,Hitachi Ltd.,000LQ5-E
"Hitachi Global Air Power US, LLC",hitachi global air power us,Hitachi Ltd.,000LQ5-E
Hitachi Construction Machines Australia,hitachi construction machines australia,Hitachi Ltd.,000LQ5-E
Hitachi Construction Machinery,hitachi construction machinery,Hitachi Ltd.,000LQ5-E
Hitachi High-Tech Science,hitachi high tech science,Hitachi Ltd.,000LQ5-E
HNI Corporation,hni,HNI Corporation,000LRT-E
Incyte Corporation,incyte,Incyte Corporation,000M2Q-E
Intel,intel,Intel Corporation,000N01-E
"Interface, Inc.",interface,"Interface, Inc.",000N0V-E
InterfaceFLOR Europe,interfaceflor europe,"Interface, Inc.",000N0V-E
Interface 2008 Cool Carpet Program,interface 2008 cool carpet program,"Interface, Inc.",000N0V-E
Interface 2008 Cool Fuel Program,interface 2008 cool fuel program,"Interface, Inc.",000N0V-E
Interface 2009 Cool Carpet Program,interface 2009 cool carpet program,"Interface, Inc.",000N0V-E
Interface Floor China,interface floor china,"Interface, Inc.",000N0V-E
IBM,ibm,International Business Machines Corporation (IBM),000N1N-E
TRUST INTERNATIONAL PAPER CORP,trust international paper,International Paper Company,000N29-E
International Paper,international paper,International Paper Company,000N29-E
"Jacobs Engineering Group, Inc.",jacobs engineering,Jacobs Engineering Group Inc.,000N7V-E
CH2M,ch2m,Jacobs Engineering Group Inc.,000N7V-E
Jacobs,jacobs,Jacobs Engineering Group Inc.,000N7V-E
CH2M Hill Corporate,ch2m hill corporate,Jacobs Engineering Group Inc.,000N7V-E
CH2MHILL,ch2mhill,Jacobs Engineering Group Inc.,000N7V-E
"CH2M Hill, Inc.",ch2m hill,Jacobs Engineering Group Inc.,000N7V-E
JNJ,jnj,Johnson & Johnson,000NB6-E
Johnson & Johnson Medtech,johnson johnson medtech,Johnson & Johnson,000NB6-E
J & J Medtech,j j medtech,Johnson & Johnson,000NB6-E
Johnson & Johnson Consumer Products Company,johnson johnson consumer products,Johnson & Johnson,000NB6-E
Johnson & Johnson,johnson johnson,Johnson & Johnson,000NB6-E
J&J,j j,Johnson & Johnson,000NB6-E
NV Johnson & Johnson Medical,johnson johnson medical,Johnson & Johnson,000NB6-E
LATAM Bispecifics Summit - Johnson Johnson,latam bispecifics summit johnson johnson,Johnson & Johnson,000NB6-E
"KB Home South Bay, Inc.",kb home south bay,KB Home,000NGP-E
Kellog's,kellog s,Kellogg Company,000NH1-E
Kellogg's,kellogg s,Kellogg Company,000NH1-E
Kellogg Company,kellogg,Kellogg Company,000NH1-E
Kimberly- Clark Uruguay Sa,kimberly clark uruguay,Kimberly-Clark Corporation,000NVS-E
Kindre,kindre,Kinross Gold Corporation,000NW6-E
Kindred,kindred,Kinross Gold Corporation,000NW6-E
KLM,klm,,000NWS-E
"Kohls Department Stores, Inc.",kohls department stores,Kohl's Corporation,000NX1-E
Kohls,kohls,Kohl's Corporation,000NX1-E
Kohl's,kohl s,Kohl's Corporation,000NX1-E
Kohl's Department Store,kohl s department store,Kohl's Corporation,000NX1-E
Renewal Millâs Kroger,renewal milla s kroger,The Kroger Co.,000NXL-E
LAM Research,lam research,Lam Research Corporation,000NYZ-E
Jefferies Financial Group,jefferies financial,Jefferies Financial Group Inc.,000P2Z-E
LG Electronics Inc.,lg electronics,LG Electronics Inc.,000P3W-E
ManpowerGroup,manpowergroup,ManpowerGroup Inc.,000PFH-E
Mercer Marsh Benefícios,mercer marsh beneficios,"Marsh & McLennan Companies, Inc.",000PH0-E
Marsh USA LLC,marsh usa,"Marsh & McLennan Companies, Inc.",000PH0-E
Marsh McLennan,marsh mclennan,"Marsh & McLennan Companies, Inc.",000PH0-E
Marsh Mc Lennan,marsh mc lennan,"Marsh & McLennan Companies, Inc.",000PH0-E
"Marsh McLennan Companies, Inc.",marsh mclennan companies,"Marsh & McLennan Companies, Inc.",000PH0-E
Marsh and McLennan Companies,marsh and mclennan companies,"Marsh & McLennan Companies, Inc.",000PH0-E
FRANK'S REDHOT_HERDEZ_MX_MAR_GREEN,frank s redhot_herdez_mx_mar_green,"McCormick & Company, Incorporated",000PLG-E
McDonald's UK & Ireland,mcdonald s uk ireland,McDonald's Corporation,000PLS-E
McDonalds,mcdonalds,McDonald's Corporation,000PLS-E
McDonald's Corporation,mcdonald s,McDonald's Corporation,000PLS-E
S&P Global Inc.,s p global,S&P Global Inc.,000PLZ-E
MSD Brasil,msd brasil,"Merck & Co., Inc.",000PQC-E
MSD Saúde Animal,msd saude animal,"Merck & Co., Inc.",000PQC-E
MGM RESORTS INTERNATIONAL,mgm resorts international,MGM Resorts International,000PYP-E
MGM Resorts Intl,mgm resorts intl,MGM Resorts International,000PYP-E
"Micron Semiconductor (Xiâ€šÃ„Ã´an) Co.,Ltd",micron semiconductor xia a an,"Micron Technology, Inc.",000PZY-E
"Micron Semiconductor (Xi'an) Co.,Ltd.",micron semiconductor xi an,"Micron Technology, Inc.",000PZY-E
Microsoft,microsoft,Microsoft Corporation,000Q07-E
MillerKnoll,millerknoll,"MillerKnoll, Inc.",000Q1J-E
3M,3m,3M Company,000Q29-E
3M do Brasil Ltda.,3m do brasil ltda,3M Company,000Q29-E
3M Brasil,3m brasil,3M Company,000Q29-E
"Mitsui & Co., Ltd.",mitsui,"Mitsui & Co., Ltd.",000Q3S-E
Godfrey Hirst Limited,godfrey hirst,"Mohawk Industries, Inc.",000Q4X-E
Godfrey Hirst NZ Limited,godfrey hirst nz,"Mohawk Industries, Inc.",000Q4X-E
"Mohawk Industries, Inc.",mohawk industries,"Mohawk Industries, Inc.",000Q4X-E
National Australia Bank,national australia bank,National Australia Bank Limited,000QVD-E
NAB,nab,National Australia Bank Limited,000QVD-E
NAB Private Wealth,nab private wealth,National Australia Bank Limited,000QVD-E
Bank of New Zealand,bank of new zealand,National Australia Bank Limited,000QVD-E
Bank of New Zealand (BNZ),bank of new zealand bnz,National Australia Bank Limited,000QVD-E
Bank of America,bank of america,Bank of America Corporation,000R3K-E
Neogen,neogen,Neogen Corporation,000R5B-E
NIKE,nike,"Nike, Inc.",000RBW-E
NIKE SPORTS,nike sports,"Nike, Inc.",000RBW-E
Nike Style Huaihai TX,nike style huaihai tx,"Nike, Inc.",000RBW-E
Converse Japan co. ltd.,converse japan,"Nike, Inc.",000RBW-E
Nike+AMP,nike amp,"Nike, Inc.",000RBW-E
NIKE Neon,nike neon,"Nike, Inc.",000RBW-E
Nordson Corporation,nordson,Nordson Corporation,000RCZ-E
NWG Italia,nwg italia,NW Natural,000RG6-E
NorthWestern Energy,northwestern energy,NorthWestern Corporation,000RGN-E
Wells Fargo,wells fargo,Wells Fargo & Company,000RGR-E
"Wells Fargo Bank, NA",wells fargo bank na,Wells Fargo & Company,000RGR-E
Wells Fargo Bank,wells fargo bank,Wells Fargo & Company,000RGR-E
Nucor Steel,nucor steel,Nucor Corporation,000RHT-E
OXY,oxy,Occidental Petroleum Corporation,000SSF-E
"Omega Healthcare Investors, Inc.",omega healthcare investors,"Omega Healthcare Investors, Inc.",000SVK-E
Oracle America,oracle america,Oracle Corporation,000SY8-E
Oracle,oracle,Oracle Corporation,000SY8-E
Charlotte Cooremans Oracle Consulting,charlotte cooremans oracle consulting,Oracle Corporation,000SY8-E
Oshkosh Corporation,oshkosh,Oshkosh Corporation,000SZ8-E
"PepsiCo, Inc. DR",pepsico dr,"PepsiCo, Inc.",000T99-E
Gatorade,gatorade,"PepsiCo, Inc.",000T99-E
Cheetos,cheetos,"PepsiCo, Inc.",000T99-E
"PepsiCo Foods (Guangdong) Co., Ltd",pepsico foods guangdong,"PepsiCo, Inc.",000T99-E
"PepsiCo, Inc.",pepsico,"PepsiCo, Inc.",000T99-E
PepsiCo do Brasil LTDA,pepsico do brasil ltda,"PepsiCo, Inc.",000T99-E
PepsiCo do Brasil,pepsico do brasil,"PepsiCo, Inc.",000T99-E
Pepsi Co.,pepsi,"PepsiCo, Inc.",000T99-E
Frito-Lay,frito lay,"PepsiCo, Inc.",000T99-E
PFIZER S.A.,pfizer s a,Pfizer Inc.,000TBT-E
PFIZER,pfizer,Pfizer Inc.,000TBT-E
Pfizer DGIM Wiesbaden,pfizer dgim wiesbaden,Pfizer Inc.,000TBT-E
Pfizer DGVS Leipzig,pfizer dgvs leipzig,Pfizer Inc.,000TBT-E
"Wyeth Pharmaceutical Co., Ltd.",wyeth pharmaceutical,Pfizer Inc.,000TBT-E
Pfizer Pharma GmbH,pfizer pharma,Pfizer Inc.,000TBT-E
"Pilgrim's Pride, S de R.L de C.V.",pilgrim s pride s de r l de c v,Pilgrim's Pride Corporation,000TFH-E
New Chapter Inc.,new chapter,The Procter & Gamble Company,000TRY-E
PG,pg,The Procter & Gamble Company,000TRY-E
PROCTER AND GAMBLE,procter and gamble,The Procter & Gamble Company,000TRY-E
"Roper Technologies, Inc.",roper technologies,"Roper Technologies, Inc.",000VKM-E
KPMG,kpmg,,000VLT-E
ARaymond North America,araymond north america,Rio Tinto Group,000VLZ-E
Rio Tinto,rio tinto,Rio Tinto Group,000VLZ-E
Samsung,samsung,"Samsung Electronics Co., Ltd.",000VPP-E
Samsung UK,samsung uk,"Samsung Electronics Co., Ltd.",000VPP-E
SAMSUNG ELECTRONICS FRANCE,samsung electronics france,"Samsung Electronics Co., Ltd.",000VPP-E
SAMSUNG SDS GLOBAL SCL AMERICA INC,samsung sds global scl america,"Samsung Electronics Co., Ltd.",000VPP-E
Harman International Industries,harman international industries,"Samsung Electronics Co., Ltd.",000VPP-E
"A.O.Smith (China) Water Heater Co., Ltd.",a o smith china water heater,A. O. Smith Corporation,000WJS-E
Southern Company Services,southern services,Southern Company,000WQ5-E
Southwest Airlines Co,southwest airlines,Southwest Airlines Co.,000WR8-E
Starbucks,starbucks,Starbucks Corporation,000WW4-E
Starbucks Coffee Argentina S.R.L,starbucks coffee argentina s r l,Starbucks Corporation,000WW4-E
Starbucks-MX,starbucks mx,Starbucks Corporation,000WW4-E
State Street Global Markets,state street global markets,State Street Corporation,000WX2-E
State Street,state street,State Street Corporation,000WX2-E
State Street/SSB Realty,state street ssb realty,State Street Corporation,000WX2-E
State Street Bank,state street bank,State Street Corporation,000WX2-E
Stifel Financial Corp,stifel financial,Stifel Financial Corp.,000WYY-E
Stryker Orthopaedics,stryker orthopaedics,Stryker Corporation,000X16-E
"Synopsys, Inc.",synopsys,"Synopsys, Inc.",000X5K-E
Menigo Foodservice AB,menigo foodservice,Sysco Corporation,000X5W-E
Sysco Guest Supply Europe,sysco guest supply europe,Sysco Corporation,000X5W-E
NDY A Tetra Tech Company,ndy a tetra tech,"Tetra Tech, Inc.",000XNR-E
Tetra Tech,tetra tech,"Tetra Tech, Inc.",000XNR-E
THE TIMKEN COMPANY,the timken,The Timken Company,000XRD-E
TJX Canada,tjx canada,"The TJX Companies, Inc.",000XRR-E
UPS,ups,"United Parcel Service, Inc.",000Y4G-E
United Parcel Service Inc.,united parcel service,"United Parcel Service, Inc.",000Y4G-E
UPS SCS (UK) LIMITED,ups scs uk,"United Parcel Service, Inc.",000Y4G-E
Sensient Technologies Australia PTY Limited,sensient technologies australia,Sensient Technologies Corporation,000Y5W-E
Marathon Oil Company,marathon oil,Marathon Oil Corporation,000Y86-E
VALMONT INDUSTRIES (CHINA) LTD,valmont industries china,"Valmont Industries, Inc.",000Y90-E
Vornado/Charles E Smith L.P.,vornado charles e smith l p,Vornado Realty Trust,000YLB-E
"Merchandise Mart Properties, Inc.",merchandise mart properties,Vornado Realty Trust,000YLB-E
Vornado Realty Trust,vornado realty trust,Vornado Realty Trust,000YLB-E
Walmart,walmart,Walmart Inc.,000YMS-E
Walmart Chile,walmart chile,Walmart Inc.,000YMS-E
Walmart Chile S.A.,walmart chile s a,Walmart Inc.,000YMS-E
Whirlpool Corporation,whirlpool,Whirlpool Corporation,000YVZ-E
"Williams-Sonoma, Inc.",williams sonoma,"Williams-Sonoma, Inc.",000YWZ-E
"World Fuel Services, Inc.",world fuel services,World Fuel Services Corporation,000Z03-E
Watson Fuels Ltd.,watson fuels,World Fuel Services Corporation,000Z03-E
Zebra Technologies Corporation,zebra technologies,Zebra Technologies Corporation,000Z32-E
Astrazeneca,astrazeneca,AstraZeneca plc,000Z35-E
AstraZeneca Nijmegen B.V.,astrazeneca nijmegen b v,AstraZeneca plc,000Z35-E
Astrazeneca/Alexion,astrazeneca alexion,AstraZeneca plc,000Z35-E
AAON,aaon,"AAON, Inc.",000ZGQ-E
BHP,bhp,BHP Group Limited,0010VG-E
PUBLICIS GROUPE,publicis groupe,Publicis Groupe S.A.,00117S-E
Publicis,publicis,Publicis Groupe S.A.,00117S-E
MEC Global Sydney,mec global sydney,Publicis Groupe S.A.,00117S-E
Ericsson Tower,ericsson tower,Telefonaktiebolaget LM Ericsson,0011BD-E
BOSTON SCIENTIFIC COLOMBIA,boston scientific colombia,Boston Scientific Corporation,0011GG-E
Brookfield Properties,brookfield properties,Brookfield Asset Management Inc.,0011GH-E
Deutsche Telekom AG,deutsche telekom,Deutsche Telekom AG,0011H9-E
Telekom,telekom,Deutsche Telekom AG,0011H9-E
T-Mobile Nederland,t mobile nederland,Deutsche Telekom AG,0011H9-E
Deutsche Funkturm,deutsche funkturm,Deutsche Telekom AG,0011H9-E
Congstar GmbH,congstar,Deutsche Telekom AG,0011H9-E
Intuit Inc.,intuit,Intuit Inc.,0011HX-E
Reinsurance Group of America,reinsurance of america,"Reinsurance Group of America, Inc.",0011JV-E
Orange Belgium,orange belgium,Orange S.A.,0011MS-E
ORANGE BUSINESS SERVICES,orange business services,Orange S.A.,0011MS-E
ORANGE BANK,orange bank,Orange S.A.,0011MS-E
ORANGE,orange,Orange S.A.,0011MS-E
Tupperware,tupperware,Tupperware Brands Corporation,0012KJ-E
Hartford Fire Insurance Company,hartford fire insurance,"The Hartford Financial Services Group, Inc.",0012PR-E
Diageo PLC,diageo,Diageo plc,0012V7-E
Mey Alkollü Içkiler San. ve Tic. A.S,mey alkollu ickiler san ve tic a s,Diageo plc,0012V7-E
Mey Alkollu Ickiler Sanayi ve Ticaret A.S.,mey alkollu ickiler sanayi ve ticaret a s,Diageo plc,0012V7-E
Indianapolis Power and Light,indianapolis power and light,The AES Corporation,0013FQ-E
Atlas Air Inc.,atlas air,"Atlas Air Worldwide Holdings, Inc.",0013FT-E
StoneX Financial Inc,stonex financial,StoneX Group Inc.,0013QC-E
Morgan Stanley,morgan stanley,Morgan Stanley,0013TZ-E
MORGAN STANLEY SERVICES GROUP INC,morgan stanley services,Morgan Stanley,0013TZ-E
Green Mountain Energy Co,green mountain energy,"NRG Energy, Inc.",0013YQ-E
NRG,nrg,"NRG Energy, Inc.",0013YQ-E
Reliant,reliant,"NRG Energy, Inc.",0013YQ-E
Henry Schein,henry schein,"Henry Schein, Inc.",00148F-E
CBRE PTY Limited,cbre,"CBRE Group, Inc.",0014DV-E
CBRE Investment Management,cbre investment management,"CBRE Group, Inc.",0014DV-E
