company_raw,company_normalized,official_name,factset_entity_id
"Inner Mongolia Oushi Mengniu Dairy Products Co., LTD",inner mongolia oushi mengniu dairy products,China Mengniu Dairy Company Limited,05ZB7P-E
"Inner Mongolia Mengniu Dairy (Group) Co., Ltd.",inner mongolia mengniu dairy,China Mengniu Dairy Company Limited,05ZB7P-E
"Mengniu Hi-tech Dairy Wuhan Co., Ltd.",mengniu hi tech dairy wuhan,China Mengniu Dairy Company Limited,05ZB7P-E
"Li Ning (China) Sports Goods Co., Ltd.",li ning china sports goods,Li Ning Company Limited,05ZB7Q-E
Air France,air france,Air France,05ZKN9-E
KLM,klm,Air France,05ZKN9-E
KLM AIR FRANCE,klm air france,Air France,05ZKN9-E
Groupe Air France,groupe air france,Air France,05ZKN9-E
KLM Holidays,klm holidays,Air France,05ZKN9-E
KLM Bluebizz,klm bluebizz,Air France,05ZKN9-E
Transavia,transavia,Air France,05ZKN9-E
Gruppo Azimut,gruppo azimut,Azimut Holding S.p.A.,05ZLWR-E
Metso Brasil Indâˆšâˆ«stria e ComâˆšÂ©rcio Ltda,metso brasil indaˆsaˆ stria e comaˆsa rcio ltda,,05ZQRD-E
Kindred Group plc,kindred,Kindred Group plc,05ZTX1-E
Suzano,suzano,Suzano S.A.,05ZYMQ-E
Suzano S/A,suzano s a,Suzano S.A.,05ZYMQ-E
Suzano Papel e Celulose,suzano papel e celulose,Suzano S.A.,05ZYMQ-E
Suzano Papel e Celulose S.A.,suzano papel e celulose s a,Suzano S.A.,05ZYMQ-E
PunaMusta Oy,punamusta oy,PunaMusta Media Oyj,060DZP-E
PunaMusta Media Oyj,punamusta media,PunaMusta Media Oyj,060DZP-E
PunaMusta Median,punamusta median,PunaMusta Media Oyj,060DZP-E
"Gd Midea Heating & Ventilating Equipment Co., Ltd",gd midea heating ventilating equipment,"Midea Group Co., Ltd.",060G1Y-E
